edgeLabel,method,prn,deltaCN0
a,BL,34,6.369696891403
a,NWPR,34,6.2858355245655
a,MM,34,7.02374321177616
a,RSCN,34,7.01041615804275
a,SNV,34,6.9087751068266
b,BL,34,-4.08534270899131
b,NWPR,34,-4.52410790762405
b,MM,34,-12.1760272457959
b,RSCN,34,-18.1346697633076
b,SNV,34,-9.15225759614765
c,BL,34,9.3996031597305
c,NWPR,34,9.8335769962754
c,MM,34,18.1637949519288
c,RSCN,34,23.9261572485401
c,SNV,34,15.0438653798573
d,BL,34,-1.0554364406638
d,NWPR,34,-0.976366435914144
d,MM,34,-1.03597550564326
d,RSCN,34,-1.2189286728103
d,SNV,34,-1.0171673231169
e,BL,34,5.3142604507392
e,NWPR,34,5.30946908865135
e,MM,34,5.9877677061329
e,RSCN,34,5.79148748523245
e,SNV,34,5.89160778370969
f,BL,34,10.4550396003943
f,NWPR,34,10.8099434321895
f,MM,34,19.1997704575721
f,RSCN,34,25.1450859213504
f,SNV,34,16.0610327029742
